Date,ITO,DTU,Sirifort,Shadipur,Dwarka,IHBAS,RK Puram,Mandir Marg,Pujabi bagh,Anand Vihar,Lodhi Road,Aya Nagar,IGI Air1rt-3,Burari Crossing,Pusa IMD
01-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
02-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
03-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
04-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
05-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
06-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
07-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
08-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
09-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
10-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
11-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
12-02-2018,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
13-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
14-02-2018,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0
15-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
16-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
17-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
18-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
19-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
20-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
21-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
22-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
23-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
24-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
25-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
26-02-2018,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0
27-02-2018,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
28-02-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
01-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
02-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
03-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
04-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
05-03-2018,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0
06-03-2018,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0
07-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
08-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
09-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
10-03-2018,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0
11-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
12-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
13-03-2018,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
14-03-2018,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
15-03-2018,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
16-03-2018,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
17-03-2018,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0
18-03-2018,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0
19-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
20-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
21-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
22-03-2018,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
23-03-2018,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0
24-03-2018,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0
25-03-2018,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
26-03-2018,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
27-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
28-03-2018,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
29-03-2018,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
30-03-2018,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
31-03-2018,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0
